UUID;net_verhoogd;hoek;larven;metamorf;adult;post_metamorf;totaal
1abd7648-ed9a-4103-9a3c-03d10e1ec21f;NA;45°;7;0;0;0;7
cd8ea921-fe97-4f79-8c0e-2965248dba89;TRUE;45°;28;1;1;2;30
afad2798-ad7a-4e07-ab0c-705bc5c3297c;TRUE;45°;12;0;0;0;12
8fac59c4-20d2-4f4b-b7d0-ea078d6d4e7b;TRUE;45°;4;0;0;0;4
cfb60c85-8873-4590-9421-6276fce6456b;TRUE;45°;39;1;0;1;40
18cc60b6-00f1-472a-9bfc-bf257e06e624;TRUE;45°;4;0;1;1;5
a911c8f5-2614-42b9-8643-48fd18cab808;TRUE;45°;0;0;0;0;0
5b89dff1-00d6-471e-b86c-1d917d62c483;TRUE;45°;79;0;1;1;80
85e10418-9220-4c3a-af69-9e9fcea1a069;TRUE;45°;12;0;0;0;12
09d477da-493a-4f00-aadd-2826dc80c228;TRUE;45°;27;0;0;0;27
54fd74a0-4e6d-4953-af30-5f6f936f9a97;TRUE;45°;58;0;0;0;58
af61d329-1809-43ab-9d3c-6e78bd4676e2;TRUE;00°;0;0;0;0;0
24412660-4b37-4bbb-81a3-64485a5ee50b;TRUE;00°;0;0;0;0;0
90f11dab-64ea-465e-aa7c-7dbd7e31fa38;TRUE;45°;0;0;0;0;0
84388f24-dc95-4374-a92b-f991dd19bd34;TRUE;45°;67;0;0;0;67
047079e1-ebf3-4c84-bf43-e787d8b1720c;TRUE;45°;25;5;0;5;30
5db52697-dae8-46b9-8986-bac3b7c47e23;TRUE;45°;13;2;0;2;15
151f1c07-97f7-4e55-84f4-6d11a0eca58f;TRUE;45°;601;58;0;58;659
c2475fb2-12a2-4896-ac50-73668b20eb33;TRUE;45°;156;17;2;19;175
91bbb52d-71ef-4c83-9a4f-14d144f601e8;TRUE;45°;8;1;0;1;9
1846afaa-ec47-41eb-b588-1a7d17e517bf;TRUE;45°;189;0;1;1;190
f39615d2-4861-45cf-9ff9-18ade180fd93;TRUE;00°;0;0;0;0;0
b33081f8-ca1e-4f20-8ba8-e1ece38f3b64;TRUE;00°;0;0;0;0;0
5003be39-1aa9-41f3-9d0b-8a235347819c;TRUE;00°;0;0;0;0;0
c1e217ab-0c4e-4155-a75a-f979628fb6ad;TRUE;00°;0;0;1;1;1
de2a48cc-a0f0-43f9-a803-ff63f112e362;TRUE;00°;0;0;1;1;1
ccb9de65-e436-4404-a451-d101009ed4b9;FALSE;00°;0;0;0;0;0
d228613d-3c2f-439f-bbdc-caee0361e854;TRUE;00°;66;17;0;17;83
c4b89b3d-6c45-4827-8184-0282f7308e51;TRUE;00°;19;3;0;3;22
041a7043-da05-4122-b36c-e39d58e17a9b;TRUE;00°;0;0;0;0;0
0267c91e-85de-4fbc-a90f-d6951edb9581;TRUE;00°;0;1;0;1;1
babf42c1-4552-43d0-8b96-76b1f699ac22;TRUE;00°;990;0;0;0;990
f67df926-3242-41d0-8b89-73a2f3b6ccf5;TRUE;00°;979;0;2;2;981
b5000acc-721e-44af-bdee-39cdcc2a2b8d;TRUE;00°;135;2;0;2;137
dcca02bd-661f-49ca-94e3-485c859c6fc8;TRUE;00°;677;3;0;3;680
334d0bf5-6217-4b71-b09f-29e898cd4d43;TRUE;00°;0;0;0;0;0
79aaae61-28c1-47b9-85bd-9c04a5bf69e2;TRUE;00°;100;5;0;5;105
69e57d5e-583f-40c2-9c2f-1aa7abcab7a6;TRUE;00°;0;0;0;0;0
38833b38-7912-4579-a380-3b7fcb4fa408;TRUE;00°;0;0;0;0;0
9a14e48d-64f0-42cc-a802-3159a508c915;FALSE;00°;0;0;1;1;1
59d9c6db-d425-4036-8c2d-5449cac483e3;TRUE;00°;0;0;0;0;0
c98e4fd8-d511-447a-bedf-1bd60cbba181;TRUE;00°;0;0;0;0;0
2c1ad831-9205-49e6-88b3-6c7505a6be09;FALSE;00°;0;0;1;1;1
51f194ea-4243-493b-8582-7089fa733f97;TRUE;00°;0;0;0;0;0
77030965-00fa-47c5-9425-0217c2caa97f;TRUE;00°;0;0;0;0;0
469972e8-ecde-4136-811b-1b5c4db9aa7b;TRUE;00°;0;2;0;2;2
bcf1de11-5f1a-41b6-9cee-4881bbcbba9a;FALSE;00°;0;1;0;1;1
ecb8e09e-7496-4024-91ec-ace91d8183e7;TRUE;00°;0;0;0;0;0
c6788015-ddf8-4b04-b2a0-8655fcbceb4d;TRUE;00°;0;0;0;0;0
378cbf1c-3887-437c-b7a9-44d40a693367;FALSE;00°;0;0;0;0;0
964ecb87-ddb8-4316-b6f8-eadb01de98ef;TRUE;00°;0;0;0;0;0
d49311ee-95e5-430f-a88f-bbafeabd28ff;TRUE;00°;0;0;0;0;0
acdb92e8-f964-4178-afb4-74156f325159;TRUE;45°;0;0;0;0;0
3d240393-383d-47fc-857a-dad4886cce8e;TRUE;45°;0;0;0;0;0
3d3d84fd-728e-47c9-914d-da97ec3b99aa;TRUE;00°;0;0;0;0;0
1093a6cc-3ed9-4912-b5a2-23ab13cb56ca;TRUE;00°;0;0;0;0;0
